iter	Passed	Remaining
0	0	772
1	1	718
2	2	697
3	2	683
4	3	685
5	4	696
6	4	695
7	5	697
8	6	697
9	7	697
10	7	697
11	8	693
12	9	687
13	9	691
14	10	689
15	11	689
16	11	687
17	12	684
18	13	685
19	13	684
20	14	688
21	15	689
22	16	687
23	16	687
24	17	690
25	18	690
26	19	688
27	19	690
28	20	693
29	21	692
30	22	691
31	22	691
32	23	689
33	24	692
34	25	694
35	25	696
36	26	695
37	27	695
38	28	693
39	28	692
40	29	692
41	30	691
42	31	691
43	31	690
44	32	690
45	33	689
46	33	687
47	34	685
48	35	684
49	36	684
50	36	683
51	37	684
52	38	684
53	39	684
54	39	684
55	40	682
56	41	681
57	41	681
58	42	680
59	43	680
60	44	678
61	44	677
62	45	677
63	46	676
64	46	674
65	47	673
66	48	672
67	49	672
68	49	671
69	50	671
70	51	670
71	51	669
72	52	669
73	53	667
74	54	667
75	54	666
76	55	666
77	56	665
78	57	665
79	57	664
80	58	662
81	59	661
82	59	661
83	60	661
84	61	660
85	62	660
86	62	659
87	63	657
88	64	656
89	64	654
90	65	653
91	66	652
92	66	651
93	67	650
94	68	649
95	69	650
96	69	649
97	70	648
98	71	646
99	71	646
100	72	646
101	73	645
102	73	644
103	74	643
104	75	642
105	76	641
106	76	640
107	77	639
108	78	638
109	78	637
110	79	636
111	80	636
112	81	635
113	81	635
114	82	634
115	83	634
116	84	635
117	84	634
118	85	633
119	86	632
120	87	633
121	87	632
122	88	632
123	89	631
124	90	630
125	90	630
126	91	630
127	92	631
128	95	644
129	96	647
130	114	761
131	115	761
132	116	762
133	117	761
134	118	759
135	120	762
136	123	775
137	134	838
138	155	961
139	159	978
140	160	980
141	161	978
142	167	1000
143	171	1018
144	173	1022
145	176	1033
146	177	1032
147	182	1050
148	185	1057
149	186	1056
150	187	1054
151	188	1051
152	192	1064
153	196	1077
154	198	1082
155	199	1081
156	200	1078
157	201	1074
158	203	1074
159	204	1073
160	206	1076
161	207	1075
162	209	1074
163	210	1071
164	211	1068
165	211	1064
166	212	1062
167	213	1058
168	214	1056
169	215	1053
170	217	1052
171	218	1050
172	219	1049
173	220	1048
174	221	1046
175	223	1044
176	224	1041
177	225	1039
178	225	1036
179	227	1034
180	228	1031
181	229	1029
182	229	1026
183	230	1022
184	231	1019
185	232	1017
186	233	1013
187	234	1011
188	234	1007
189	235	1004
190	236	1002
191	237	998
192	238	995
193	239	993
194	239	990
195	240	987
196	241	984
197	242	981
198	243	981
199	245	980
200	246	978
201	247	977
202	248	975
203	249	972
204	250	970
205	251	968
206	252	965
207	253	964
208	254	962
209	255	959
210	255	957
211	256	955
212	257	953
213	259	951
214	259	948
215	261	947
216	262	945
217	263	944
218	264	943
219	265	941
220	266	939
221	267	938
222	268	936
223	269	934
224	271	933
225	272	931
226	272	929
227	274	927
228	274	925
229	275	923
230	276	921
231	277	920
232	278	917
233	279	915
234	280	913
235	281	911
236	282	909
237	283	907
238	284	905
239	285	902
240	285	900
241	286	897
242	287	896
243	288	894
244	289	892
245	290	890
246	291	887
247	291	885
248	292	882
249	296	890
250	298	890
251	299	890
252	300	888
253	301	886
254	302	885
255	303	883
256	305	882
257	306	880
258	307	879
259	308	877
260	309	876
261	310	874
262	311	872
263	312	870
264	313	868
265	314	866
266	314	864
267	315	862
268	316	860
269	317	858
270	318	856
271	319	854
272	319	851
273	320	849
274	321	847
275	322	845
276	323	843
277	323	841
278	324	839
279	325	837
280	326	835
281	327	833
282	328	831
283	329	829
284	330	828
285	331	827
286	332	825
287	333	823
288	333	821
289	334	819
290	335	817
291	336	816
292	337	814
293	338	812
294	339	810
295	340	809
296	342	809
297	343	808
298	345	809
299	347	809
300	348	808
301	348	806
302	349	803
303	350	801
304	350	799
305	351	796
306	352	794
307	352	792
308	353	790
